DEBUG CRÉDITO ICMS ST

PRODUTO: 00000000001004 | BC_ST: 281.25 | ALIQ: 0.18 | CREDITO: 50.625
PRODUTO: 00000000001302 | BC_ST: 193.81 | ALIQ: 0.18 | CREDITO: 34.885799999999996
PRODUTO: 00000000001302 | BC_ST: 516.81 | ALIQ: 0.18 | CREDITO: 93.02579999999999
PRODUTO: 00000000001302 | BC_ST: 193.81 | ALIQ: 0.18 | CREDITO: 34.885799999999996
PRODUTO: 00000000001314 | BC_ST: 66.62 | ALIQ: 0.18 | CREDITO: 11.9916
PRODUTO: 00000000001314 | BC_ST: 199.87 | ALIQ: 0.18 | CREDITO: 35.9766
PRODUTO: 00000000001317 | BC_ST: 260.69 | ALIQ: 0.18 | CREDITO: 46.9242
PRODUTO: 00000000001317 | BC_ST: 195.51 | ALIQ: 0.18 | CREDITO: 35.19179999999999
PRODUTO: 00000000001428 | BC_ST: 126.96 | ALIQ: 0.18 | CREDITO: 22.8528
PRODUTO: 00000000001428 | BC_ST: 74.58 | ALIQ: 0.18 | CREDITO: 13.424399999999999
PRODUTO: 00000000001428 | BC_ST: 74.58 | ALIQ: 0.18 | CREDITO: 13.424399999999999
PRODUTO: 00000000001428 | BC_ST: 78.92 | ALIQ: 0.18 | CREDITO: 14.2056
PRODUTO: 00000000001634 | BC_ST: 123.06 | ALIQ: 0.25 | CREDITO: 30.765
PRODUTO: 00000000001640 | BC_ST: 14.06 | ALIQ: 0.18 | CREDITO: 2.5308
PRODUTO: 00000000001640 | BC_ST: 27.85 | ALIQ: 0.18 | CREDITO: 5.013
PRODUTO: 00000000001640 | BC_ST: 17.49 | ALIQ: 0.18 | CREDITO: 3.1481999999999997
PRODUTO: 00000000001650 | BC_ST: 262.04 | ALIQ: 0.18 | CREDITO: 47.1672
PRODUTO: 00000000001676 | BC_ST: 136.19 | ALIQ: 0.18 | CREDITO: 24.5142
PRODUTO: 00000000001680 | BC_ST: 82.47 | ALIQ: 0.18 | CREDITO: 14.8446
PRODUTO: 00000000001697 | BC_ST: 53.28 | ALIQ: 0.18 | CREDITO: 9.5904
PRODUTO: 00000000001786 | BC_ST: 22.65 | ALIQ: 0.18 | CREDITO: 4.077
PRODUTO: 00000000001787 | BC_ST: 80.85 | ALIQ: 0.18 | CREDITO: 14.552999999999999
PRODUTO: 00000000001788 | BC_ST: 80.85 | ALIQ: 0.18 | CREDITO: 14.552999999999999
PRODUTO: 00000000001789 | BC_ST: 23.69 | ALIQ: 0.18 | CREDITO: 4.2642
PRODUTO: 00000000001808 | BC_ST: 39.52 | ALIQ: 0.18 | CREDITO: 7.1136
PRODUTO: 00000000001808 | BC_ST: 22.44 | ALIQ: 0.18 | CREDITO: 4.0392
PRODUTO: 00000000001861 | BC_ST: 40.31 | ALIQ: 0.18 | CREDITO: 7.2558
PRODUTO: 00000000001862 | BC_ST: 23.12 | ALIQ: 0.18 | CREDITO: 4.1616
PRODUTO: 00000000001863 | BC_ST: 25.64 | ALIQ: 0.18 | CREDITO: 4.6152
PRODUTO: 00000000002252 | BC_ST: 9.05 | ALIQ: 0.18 | CREDITO: 1.629
PRODUTO: 00000000002258 | BC_ST: 15.44 | ALIQ: 0.18 | CREDITO: 2.7792
PRODUTO: 00000000002274 | BC_ST: 11.0 | ALIQ: 0.18 | CREDITO: 1.98
PRODUTO: 00000000002274 | BC_ST: 10.57 | ALIQ: 0.18 | CREDITO: 1.9026
PRODUTO: 00000000002285 | BC_ST: 10.34 | ALIQ: 0.18 | CREDITO: 1.8612
PRODUTO: 00000000002286 | BC_ST: 15.44 | ALIQ: 0.18 | CREDITO: 2.7792
PRODUTO: 00000000002286 | BC_ST: 15.44 | ALIQ: 0.18 | CREDITO: 2.7792
PRODUTO: 00000000004431 | BC_ST: 324.21 | ALIQ: 0.25 | CREDITO: 81.0525
PRODUTO: 00000000004438 | BC_ST: 324.21 | ALIQ: 0.25 | CREDITO: 81.0525
PRODUTO: 00000000004480 | BC_ST: 45.67 | ALIQ: 0.25 | CREDITO: 11.4175
PRODUTO: 00000000004480 | BC_ST: 25.08 | ALIQ: 0.25 | CREDITO: 6.27
PRODUTO: 00000000004481 | BC_ST: 45.67 | ALIQ: 0.25 | CREDITO: 11.4175
PRODUTO: 00000000004482 | BC_ST: 174.52 | ALIQ: 0.25 | CREDITO: 43.63
PRODUTO: 00000000004510 | BC_ST: 197.98 | ALIQ: 0.25 | CREDITO: 49.495
PRODUTO: 00000000004520 | BC_ST: 83.76 | ALIQ: 0.25 | CREDITO: 20.94
PRODUTO: 00000000004520 | BC_ST: 83.76 | ALIQ: 0.25 | CREDITO: 20.94
PRODUTO: 00000000004520 | BC_ST: 167.52 | ALIQ: 0.25 | CREDITO: 41.88
PRODUTO: 00000000004520 | BC_ST: 184.78 | ALIQ: 0.25 | CREDITO: 46.195
PRODUTO: 00000000005009 | BC_ST: 40.71 | ALIQ: 0.18 | CREDITO: 7.3278
PRODUTO: 00000000005125 | BC_ST: 27.91 | ALIQ: 0.18 | CREDITO: 5.0238
PRODUTO: 00000000016438 | BC_ST: 261.39 | ALIQ: 0.18 | CREDITO: 47.0502
PRODUTO: 00000000019734 | BC_ST: 237.05 | ALIQ: 0.18 | CREDITO: 42.669
PRODUTO: 00000000022249 | BC_ST: 75.25 | ALIQ: 0.18 | CREDITO: 13.545
PRODUTO: 00000000025458 | BC_ST: 620.68 | ALIQ: 0.18 | CREDITO: 111.7224
PRODUTO: 00000000025458 | BC_ST: 969.83 | ALIQ: 0.18 | CREDITO: 174.5694
PRODUTO: 00000000025458 | BC_ST: 1711.81 | ALIQ: 0.18 | CREDITO: 308.12579999999997
PRODUTO: 00000000027858 | BC_ST: 178.19 | ALIQ: 0.25 | CREDITO: 44.5475
PRODUTO: 00000000029046 | BC_ST: 56.58 | ALIQ: 0.18 | CREDITO: 10.1844
PRODUTO: 00000000030181 | BC_ST: 226.91 | ALIQ: 0.25 | CREDITO: 56.7275
PRODUTO: 00000000033424 | BC_ST: 351.8 | ALIQ: 0.18 | CREDITO: 63.324
PRODUTO: 00000000033427 | BC_ST: 96.55 | ALIQ: 0.18 | CREDITO: 17.378999999999998
PRODUTO: 00000000036485 | BC_ST: 59.77 | ALIQ: 0.18 | CREDITO: 10.7586
PRODUTO: 00000000036487 | BC_ST: 34.43 | ALIQ: 0.25 | CREDITO: 8.6075
PRODUTO: 00000000036826 | BC_ST: 27.78 | ALIQ: 0.25 | CREDITO: 6.945
PRODUTO: 00000000037159 | BC_ST: 27.64 | ALIQ: 0.25 | CREDITO: 6.91
PRODUTO: 00000000037693 | BC_ST: 29.35 | ALIQ: 0.25 | CREDITO: 7.3375
PRODUTO: 00000000037694 | BC_ST: 31.08 | ALIQ: 0.25 | CREDITO: 7.77
PRODUTO: 00000000037696 | BC_ST: 91.48 | ALIQ: 0.25 | CREDITO: 22.87
PRODUTO: 00000000037699 | BC_ST: 39.58 | ALIQ: 0.25 | CREDITO: 9.895
PRODUTO: 00000000040090 | BC_ST: 9.49 | ALIQ: 0.12 | CREDITO: 1.1388
PRODUTO: 00000000040220 | BC_ST: 66.24 | ALIQ: 0.18 | CREDITO: 11.923199999999998
PRODUTO: 00000000043566 | BC_ST: 36.74 | ALIQ: 0.12 | CREDITO: 4.4088
PRODUTO: 00000000045557 | BC_ST: 54.3 | ALIQ: 0.18 | CREDITO: 9.774
PRODUTO: 00000000045627 | BC_ST: 30.93 | ALIQ: 0.12 | CREDITO: 3.7116
PRODUTO: 00000000045629 | BC_ST: 118.15 | ALIQ: 0.18 | CREDITO: 21.267
PRODUTO: 00000000046568 | BC_ST: 0.0 | ALIQ: 0.18 | CREDITO: 0.0
PRODUTO: 00000000046593 | BC_ST: 0.0 | ALIQ: 0.18 | CREDITO: 0.0
PRODUTO: 00000000046898 | BC_ST: 587.96 | ALIQ: 0.25 | CREDITO: 146.99
PRODUTO: 00000000046898 | BC_ST: 195.98 | ALIQ: 0.25 | CREDITO: 48.995
PRODUTO: 00000000046898 | BC_ST: 195.98 | ALIQ: 0.25 | CREDITO: 48.995
PRODUTO: 00000000046898 | BC_ST: 195.98 | ALIQ: 0.25 | CREDITO: 48.995
PRODUTO: 00000000046898 | BC_ST: 1514.32 | ALIQ: 0.25 | CREDITO: 378.58
PRODUTO: 00000000046931 | BC_ST: 123.14 | ALIQ: 0.18 | CREDITO: 22.1652
PRODUTO: 00000000046931 | BC_ST: 117.27 | ALIQ: 0.18 | CREDITO: 21.1086
PRODUTO: 00000000046931 | BC_ST: 234.55 | ALIQ: 0.18 | CREDITO: 42.219
PRODUTO: 00000000047144 | BC_ST: 95.61 | ALIQ: 0.18 | CREDITO: 17.209799999999998
PRODUTO: 00000000047145 | BC_ST: 14.53 | ALIQ: 0.18 | CREDITO: 2.6153999999999997
PRODUTO: 00000000047145 | BC_ST: 36.59 | ALIQ: 0.18 | CREDITO: 6.586200000000001
PRODUTO: 00000000047146 | BC_ST: 15.71 | ALIQ: 0.18 | CREDITO: 2.8278
PRODUTO: 00000000047149 | BC_ST: 149.87 | ALIQ: 0.18 | CREDITO: 26.9766
PRODUTO: 00000000047150 | BC_ST: 28.65 | ALIQ: 0.18 | CREDITO: 5.156999999999999
PRODUTO: 00000000047152 | BC_ST: 67.38 | ALIQ: 0.18 | CREDITO: 12.1284
PRODUTO: 00000000047196 | BC_ST: 209.59 | ALIQ: 0.25 | CREDITO: 52.3975
PRODUTO: 00000000047321 | BC_ST: 59.06 | ALIQ: 0.25 | CREDITO: 14.765
PRODUTO: 00000000047321 | BC_ST: 202.13 | ALIQ: 0.25 | CREDITO: 50.5325
PRODUTO: 00000000047339 | BC_ST: 78.69 | ALIQ: 0.18 | CREDITO: 14.1642
PRODUTO: 00000000047339 | BC_ST: 271.68 | ALIQ: 0.18 | CREDITO: 48.9024
