DEBUG ICMS ST - NORMAL

PRODUTO: 00000000001073 | BC_ST: 93.87 | QTD: 8.0 | QTD_UTIL: 2.0 | BC_PROP: 23.4675 | ALIQ: 18.0 | CREDITO: 4.22415
PRODUTO: 00000000001302 | BC_ST: 106.7 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 106.7 | ALIQ: 18.0 | CREDITO: 19.206
PRODUTO: 00000000001302 | BC_ST: 373.43 | QTD: 14.0 | QTD_UTIL: 14.0 | BC_PROP: 373.43 | ALIQ: 18.0 | CREDITO: 67.2174
PRODUTO: 00000000001302 | BC_ST: 480.14 | QTD: 18.0 | QTD_UTIL: 4.0 | BC_PROP: 106.69777777777777 | ALIQ: 18.0 | CREDITO: 19.205599999999997
PRODUTO: 00000000001314 | BC_ST: 159.17 | QTD: 6.0 | QTD_UTIL: 6.0 | BC_PROP: 159.17 | ALIQ: 18.0 | CREDITO: 28.650599999999997
PRODUTO: 00000000001314 | BC_ST: 106.11 | QTD: 4.0 | QTD_UTIL: 4.0 | BC_PROP: 106.11 | ALIQ: 18.0 | CREDITO: 19.0998
PRODUTO: 00000000001314 | BC_ST: 53.03 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 53.03 | ALIQ: 18.0 | CREDITO: 9.545399999999999
PRODUTO: 00000000001314 | BC_ST: 424.46 | QTD: 16.0 | QTD_UTIL: 2.0 | BC_PROP: 53.0575 | ALIQ: 18.0 | CREDITO: 9.55035
PRODUTO: 00000000001317 | BC_ST: 714.72 | QTD: 26.0 | QTD_UTIL: 26.0 | BC_PROP: 714.72 | ALIQ: 18.0 | CREDITO: 128.6496
PRODUTO: 00000000001317 | BC_ST: 659.74 | QTD: 24.0 | QTD_UTIL: 11.0 | BC_PROP: 302.3808333333333 | ALIQ: 18.0 | CREDITO: 54.428549999999994
PRODUTO: 00000000001641 | BC_ST: 1586.69 | QTD: 156.0 | QTD_UTIL: 13.0 | BC_PROP: 132.2241666666667 | ALIQ: 18.0 | CREDITO: 23.80035
PRODUTO: 00000000001697 | BC_ST: 41.67 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 41.67 | ALIQ: 18.0 | CREDITO: 7.5006
PRODUTO: 00000000001786 | BC_ST: 41.37 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 41.37 | ALIQ: 18.0 | CREDITO: 7.446599999999999
PRODUTO: 00000000001786 | BC_ST: 82.71 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 82.71 | ALIQ: 18.0 | CREDITO: 14.887799999999999
PRODUTO: 00000000001787 | BC_ST: 41.37 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 41.37 | ALIQ: 18.0 | CREDITO: 7.446599999999999
PRODUTO: 00000000001787 | BC_ST: 38.73 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 19.365 | ALIQ: 18.0 | CREDITO: 3.4856999999999996
PRODUTO: 00000000001788 | BC_ST: 20.82 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 20.82 | ALIQ: 18.0 | CREDITO: 3.7476
PRODUTO: 00000000001789 | BC_ST: 82.71 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 82.71 | ALIQ: 18.0 | CREDITO: 14.887799999999999
PRODUTO: 00000000001789 | BC_ST: 40.6 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 40.6 | ALIQ: 18.0 | CREDITO: 7.308
PRODUTO: 00000000001790 | BC_ST: 43.3 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 21.65 | ALIQ: 18.0 | CREDITO: 3.897
PRODUTO: 00000000001808 | BC_ST: 39.39 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 39.39 | ALIQ: 18.0 | CREDITO: 7.0902
PRODUTO: 00000000001861 | BC_ST: 72.84 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 72.84 | ALIQ: 18.0 | CREDITO: 13.1112
PRODUTO: 00000000001861 | BC_ST: 36.43 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 36.43 | ALIQ: 18.0 | CREDITO: 6.5573999999999995
PRODUTO: 00000000001862 | BC_ST: 39.46 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 39.46 | ALIQ: 18.0 | CREDITO: 7.1028
PRODUTO: 00000000001863 | BC_ST: 36.43 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 36.43 | ALIQ: 18.0 | CREDITO: 6.5573999999999995
PRODUTO: 00000000001863 | BC_ST: 21.92 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 21.92 | ALIQ: 18.0 | CREDITO: 3.9456
PRODUTO: 00000000002276 | BC_ST: 14.39 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 14.39 | ALIQ: 18.0 | CREDITO: 2.5902
PRODUTO: 00000000002276 | BC_ST: 28.79 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 14.395 | ALIQ: 18.0 | CREDITO: 2.5911
PRODUTO: 00000000004431 | BC_ST: 95.36 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 95.36 | ALIQ: 25.0 | CREDITO: 23.84
PRODUTO: 00000000004431 | BC_ST: 47.67 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 47.67 | ALIQ: 25.0 | CREDITO: 11.9175
PRODUTO: 00000000004480 | BC_ST: 60.87 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 60.87 | ALIQ: 25.0 | CREDITO: 15.2175
PRODUTO: 00000000004480 | BC_ST: 20.28 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 20.28 | ALIQ: 25.0 | CREDITO: 5.07
PRODUTO: 00000000004480 | BC_ST: 108.89 | QTD: 5.0 | QTD_UTIL: 1.0 | BC_PROP: 21.778 | ALIQ: 25.0 | CREDITO: 5.4445
PRODUTO: 00000000004481 | BC_ST: 42.74 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 42.74 | ALIQ: 25.0 | CREDITO: 10.685
PRODUTO: 00000000004482 | BC_ST: 125.34 | QTD: 5.0 | QTD_UTIL: 1.0 | BC_PROP: 25.068 | ALIQ: 25.0 | CREDITO: 6.267
PRODUTO: 00000000004510 | BC_ST: 116.14 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 116.14 | ALIQ: 25.0 | CREDITO: 29.035
PRODUTO: 00000000004510 | BC_ST: 29.79 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 29.79 | ALIQ: 25.0 | CREDITO: 7.4475
PRODUTO: 00000000004510 | BC_ST: 29.06 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 29.06 | ALIQ: 25.0 | CREDITO: 7.265
PRODUTO: 00000000004520 | BC_ST: 114.19 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 114.19 | ALIQ: 25.0 | CREDITO: 28.5475
PRODUTO: 00000000004522 | BC_ST: 123.79 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 123.79 | ALIQ: 25.0 | CREDITO: 30.9475
PRODUTO: 00000000004522 | BC_ST: 58.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 58.44 | ALIQ: 25.0 | CREDITO: 14.61
PRODUTO: 00000000004522 | BC_ST: 32.16 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 32.16 | ALIQ: 25.0 | CREDITO: 8.04
PRODUTO: 00000000004539 | BC_ST: 114.09 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 114.09 | ALIQ: 25.0 | CREDITO: 28.5225
PRODUTO: 00000000005009 | BC_ST: 109.91 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 109.91 | ALIQ: 18.0 | CREDITO: 19.7838
PRODUTO: 00000000005009 | BC_ST: 73.28 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 73.28 | ALIQ: 18.0 | CREDITO: 13.1904
PRODUTO: 00000000005009 | BC_ST: 207.1 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 207.1 | ALIQ: 18.0 | CREDITO: 37.278
PRODUTO: 00000000005009 | BC_ST: 207.1 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 207.1 | ALIQ: 18.0 | CREDITO: 37.278
PRODUTO: 00000000005009 | BC_ST: 586.24 | QTD: 16.0 | QTD_UTIL: 1.0 | BC_PROP: 36.64 | ALIQ: 18.0 | CREDITO: 6.5952
PRODUTO: 00000000007066 | BC_ST: 155.52 | QTD: 11.0 | QTD_UTIL: 11.0 | BC_PROP: 155.52 | ALIQ: 25.0 | CREDITO: 38.88
PRODUTO: 00000000007066 | BC_ST: 212.06 | QTD: 15.0 | QTD_UTIL: 15.0 | BC_PROP: 212.06 | ALIQ: 25.0 | CREDITO: 53.015
PRODUTO: 00000000007066 | BC_ST: 197.91 | QTD: 14.0 | QTD_UTIL: 5.0 | BC_PROP: 70.68214285714285 | ALIQ: 25.0 | CREDITO: 17.670535714285712
PRODUTO: 00000000007234 | BC_ST: 93.6 | QTD: 7.0 | QTD_UTIL: 4.0 | BC_PROP: 53.48571428571428 | ALIQ: 25.0 | CREDITO: 13.37142857142857
PRODUTO: 00000000007379 | BC_ST: 310.42 | QTD: 10.0 | QTD_UTIL: 4.0 | BC_PROP: 124.168 | ALIQ: 25.0 | CREDITO: 31.042
PRODUTO: 00000000007394 | BC_ST: 24.57 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 24.57 | ALIQ: 18.0 | CREDITO: 4.4226
PRODUTO: 00000000007394 | BC_ST: 24.57 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 24.57 | ALIQ: 18.0 | CREDITO: 4.4226
PRODUTO: 00000000007394 | BC_ST: 79.17 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 79.17 | ALIQ: 18.0 | CREDITO: 14.2506
