DEBUG ICMS ST - SIMPLES

PRODUTO: 00000000001302 | BC_ST: 140.15 | BC_ICMS: 86.53 | QTD: 5.0 | QTD_UTIL: 2.0 | BASE_PROP: 21.448 | ALIQ: 18.0 | CREDITO: 3.86064
PRODUTO: 00000000001314 | BC_ST: 30.58 | BC_ICMS: 18.88 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 11.7 | ALIQ: 18.0 | CREDITO: 2.106
PRODUTO: 00000000001314 | BC_ST: 57.87 | BC_ICMS: 35.73 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 22.14 | ALIQ: 18.0 | CREDITO: 3.9852
PRODUTO: 00000000001314 | BC_ST: 28.93 | BC_ICMS: 17.86 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 11.07 | ALIQ: 18.0 | CREDITO: 1.9926
PRODUTO: 00000000001314 | BC_ST: 115.71 | BC_ICMS: 71.44 | QTD: 4.0 | QTD_UTIL: 4.0 | BASE_PROP: 44.269999999999996 | ALIQ: 18.0 | CREDITO: 7.968599999999999
PRODUTO: 00000000001314 | BC_ST: 115.71 | BC_ICMS: 71.44 | QTD: 4.0 | QTD_UTIL: 3.0 | BASE_PROP: 33.2025 | ALIQ: 18.0 | CREDITO: 5.97645
PRODUTO: 00000000001317 | BC_ST: 538.62 | BC_ICMS: 332.54 | QTD: 18.0 | QTD_UTIL: 13.0 | BASE_PROP: 148.83555555555554 | ALIQ: 18.0 | CREDITO: 26.790399999999998
PRODUTO: 00000000001630 | BC_ST: 24.02 | BC_ICMS: 14.51 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 9.51 | ALIQ: 18.0 | CREDITO: 1.7118
PRODUTO: 00000000001634 | BC_ST: 19.34 | BC_ICMS: 12.23 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 7.109999999999999 | ALIQ: 25.0 | CREDITO: 1.7774999999999999
PRODUTO: 00000000001634 | BC_ST: 19.31 | BC_ICMS: 12.21 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 7.099999999999998 | ALIQ: 25.0 | CREDITO: 1.7749999999999995
PRODUTO: 00000000001640 | BC_ST: 42.26 | BC_ICMS: 23.56 | QTD: 2.0 | QTD_UTIL: 2.0 | BASE_PROP: 18.7 | ALIQ: 18.0 | CREDITO: 3.3659999999999997
PRODUTO: 00000000001640 | BC_ST: 13.82 | BC_ICMS: 9.64 | QTD: 1.0 | QTD_UTIL: 1.0 | BASE_PROP: 4.18 | ALIQ: 18.0 | CREDITO: 0.7524
