DEBUG ICMS ST - NORMAL

PRODUTO: 00000000001004 | BC_ST: 281.25 | QTD: 8.0 | QTD_UTIL: 1.0 | BC_PROP: 35.15625 | ALIQ: 18.0 | CREDITO: 6.328125
PRODUTO: 00000000001302 | BC_ST: 193.81 | QTD: 6.0 | QTD_UTIL: 6.0 | BC_PROP: 193.81 | ALIQ: 18.0 | CREDITO: 34.885799999999996
PRODUTO: 00000000001302 | BC_ST: 516.81 | QTD: 16.0 | QTD_UTIL: 16.0 | BC_PROP: 516.81 | ALIQ: 18.0 | CREDITO: 93.02579999999999
PRODUTO: 00000000001302 | BC_ST: 193.81 | QTD: 6.0 | QTD_UTIL: 2.0 | BC_PROP: 64.60333333333334 | ALIQ: 18.0 | CREDITO: 11.6286
PRODUTO: 00000000001314 | BC_ST: 66.62 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 66.62 | ALIQ: 18.0 | CREDITO: 11.9916
PRODUTO: 00000000001314 | BC_ST: 199.87 | QTD: 6.0 | QTD_UTIL: 4.0 | BC_PROP: 133.24666666666667 | ALIQ: 18.0 | CREDITO: 23.9844
PRODUTO: 00000000001317 | BC_ST: 260.69 | QTD: 8.0 | QTD_UTIL: 8.0 | BC_PROP: 260.69 | ALIQ: 18.0 | CREDITO: 46.9242
PRODUTO: 00000000001317 | BC_ST: 195.51 | QTD: 6.0 | QTD_UTIL: 4.0 | BC_PROP: 130.34 | ALIQ: 18.0 | CREDITO: 23.461199999999998
PRODUTO: 00000000001428 | BC_ST: 126.96 | QTD: 6.0 | QTD_UTIL: 6.0 | BC_PROP: 126.96000000000001 | ALIQ: 18.0 | CREDITO: 22.852800000000002
PRODUTO: 00000000001428 | BC_ST: 74.58 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 74.58 | ALIQ: 18.0 | CREDITO: 13.424399999999999
PRODUTO: 00000000001428 | BC_ST: 74.58 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 74.58 | ALIQ: 18.0 | CREDITO: 13.424399999999999
PRODUTO: 00000000001428 | BC_ST: 78.92 | QTD: 3.0 | QTD_UTIL: 1.0 | BC_PROP: 26.30666666666667 | ALIQ: 18.0 | CREDITO: 4.7352
PRODUTO: 00000000001634 | BC_ST: 123.06 | QTD: 8.0 | QTD_UTIL: 4.0 | BC_PROP: 61.53 | ALIQ: 25.0 | CREDITO: 15.3825
PRODUTO: 00000000001640 | BC_ST: 14.06 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 14.06 | ALIQ: 18.0 | CREDITO: 2.5308
PRODUTO: 00000000001640 | BC_ST: 27.85 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 27.85 | ALIQ: 18.0 | CREDITO: 5.013
PRODUTO: 00000000001640 | BC_ST: 17.49 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 17.49 | ALIQ: 18.0 | CREDITO: 3.1481999999999997
PRODUTO: 00000000001650 | BC_ST: 262.04 | QTD: 8.0 | QTD_UTIL: 3.0 | BC_PROP: 98.26500000000001 | ALIQ: 18.0 | CREDITO: 17.687700000000003
PRODUTO: 00000000001676 | BC_ST: 136.19 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 136.19 | ALIQ: 18.0 | CREDITO: 24.5142
PRODUTO: 00000000001680 | BC_ST: 82.47 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 82.47 | ALIQ: 18.0 | CREDITO: 14.8446
PRODUTO: 00000000001697 | BC_ST: 53.28 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 53.28 | ALIQ: 18.0 | CREDITO: 9.5904
PRODUTO: 00000000001786 | BC_ST: 22.65 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 22.65 | ALIQ: 18.0 | CREDITO: 4.077
PRODUTO: 00000000001787 | BC_ST: 80.85 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 80.85 | ALIQ: 18.0 | CREDITO: 14.552999999999999
PRODUTO: 00000000001788 | BC_ST: 80.85 | QTD: 2.0 | QTD_UTIL: 1.0 | BC_PROP: 40.425 | ALIQ: 18.0 | CREDITO: 7.2764999999999995
PRODUTO: 00000000001789 | BC_ST: 23.69 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 23.69 | ALIQ: 18.0 | CREDITO: 4.2642
PRODUTO: 00000000001808 | BC_ST: 39.52 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 39.52 | ALIQ: 18.0 | CREDITO: 7.1136
PRODUTO: 00000000001808 | BC_ST: 22.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 22.44 | ALIQ: 18.0 | CREDITO: 4.0392
PRODUTO: 00000000001861 | BC_ST: 40.31 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 40.31 | ALIQ: 18.0 | CREDITO: 7.2558
PRODUTO: 00000000001862 | BC_ST: 23.12 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 23.12 | ALIQ: 18.0 | CREDITO: 4.1616
PRODUTO: 00000000001863 | BC_ST: 25.64 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 25.64 | ALIQ: 18.0 | CREDITO: 4.6152
PRODUTO: 00000000002252 | BC_ST: 9.05 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 9.05 | ALIQ: 18.0 | CREDITO: 1.629
PRODUTO: 00000000002258 | BC_ST: 15.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 15.44 | ALIQ: 18.0 | CREDITO: 2.7792
PRODUTO: 00000000002274 | BC_ST: 11.0 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 11.0 | ALIQ: 18.0 | CREDITO: 1.98
PRODUTO: 00000000002274 | BC_ST: 10.57 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 10.57 | ALIQ: 18.0 | CREDITO: 1.9026
PRODUTO: 00000000002285 | BC_ST: 10.34 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 10.34 | ALIQ: 18.0 | CREDITO: 1.8612
PRODUTO: 00000000002286 | BC_ST: 15.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 15.44 | ALIQ: 18.0 | CREDITO: 2.7792
PRODUTO: 00000000002286 | BC_ST: 15.44 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 15.44 | ALIQ: 18.0 | CREDITO: 2.7792
PRODUTO: 00000000004431 | BC_ST: 324.21 | QTD: 6.0 | QTD_UTIL: 5.0 | BC_PROP: 270.17499999999995 | ALIQ: 25.0 | CREDITO: 67.54374999999999
PRODUTO: 00000000004438 | BC_ST: 324.21 | QTD: 6.0 | QTD_UTIL: 5.0 | BC_PROP: 270.17499999999995 | ALIQ: 25.0 | CREDITO: 67.54374999999999
PRODUTO: 00000000004480 | BC_ST: 45.67 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 45.67 | ALIQ: 25.0 | CREDITO: 11.4175
PRODUTO: 00000000004480 | BC_ST: 25.08 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 25.08 | ALIQ: 25.0 | CREDITO: 6.27
PRODUTO: 00000000004481 | BC_ST: 45.67 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 45.67 | ALIQ: 25.0 | CREDITO: 11.4175
PRODUTO: 00000000004482 | BC_ST: 174.52 | QTD: 6.0 | QTD_UTIL: 1.0 | BC_PROP: 29.08666666666667 | ALIQ: 25.0 | CREDITO: 7.271666666666667
PRODUTO: 00000000004510 | BC_ST: 197.98 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 197.97999999999996 | ALIQ: 25.0 | CREDITO: 49.49499999999999
PRODUTO: 00000000004520 | BC_ST: 83.76 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 83.76 | ALIQ: 25.0 | CREDITO: 20.94
PRODUTO: 00000000004520 | BC_ST: 83.76 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 83.76 | ALIQ: 25.0 | CREDITO: 20.94
PRODUTO: 00000000004520 | BC_ST: 167.52 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 167.52 | ALIQ: 25.0 | CREDITO: 41.88
PRODUTO: 00000000004520 | BC_ST: 184.78 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 184.78 | ALIQ: 25.0 | CREDITO: 46.195
PRODUTO: 00000000005009 | BC_ST: 40.71 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 40.71 | ALIQ: 18.0 | CREDITO: 7.3278
PRODUTO: 00000000005125 | BC_ST: 27.91 | QTD: 1.0 | QTD_UTIL: 1.0 | BC_PROP: 27.91 | ALIQ: 18.0 | CREDITO: 5.0238
PRODUTO: 00000000016438 | BC_ST: 261.39 | QTD: 100.0 | QTD_UTIL: 66.0 | BC_PROP: 172.51739999999998 | ALIQ: 18.0 | CREDITO: 31.053131999999994
PRODUTO: 00000000019734 | BC_ST: 237.05 | QTD: 3.0 | QTD_UTIL: 3.0 | BC_PROP: 237.05 | ALIQ: 18.0 | CREDITO: 42.669
PRODUTO: 00000000022249 | BC_ST: 75.25 | QTD: 2.0 | QTD_UTIL: 2.0 | BC_PROP: 75.25 | ALIQ: 18.0 | CREDITO: 13.545
PRODUTO: 00000000025458 | BC_ST: 620.68 | QTD: 16.0 | QTD_UTIL: 16.0 | BC_PROP: 620.68 | ALIQ: 18.0 | CREDITO: 111.7224
PRODUTO: 00000000025458 | BC_ST: 969.83 | QTD: 25.0 | QTD_UTIL: 25.0 | BC_PROP: 969.8299999999999 | ALIQ: 18.0 | CREDITO: 174.56939999999997
PRODUTO: 00000000025458 | BC_ST: 1711.81 | QTD: 22.0 | QTD_UTIL: 1.0 | BC_PROP: 77.80954545454546 | ALIQ: 18.0 | CREDITO: 14.005718181818182
